index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
134,false,56815b4f-6138-4e0b-9fac-c94fd6b102b3,Nickel II,Elementary flows/Emission to water/ground water,kg,elementary,,,
135,false,20bc9500-2e2f-4cba-9332-8ea17d362aba,Bromine,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
136,false,aedea697-930a-4a0e-9e4f-b9c369aa9a33,"BOD5, Biological Oxygen Demand","Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
137,false,aa7cac3a-3625-41d4-bc54-33e2cf11ec46,"Carbon dioxide, fossil",Elementary flows/Emission to air/low population density,kg,elementary,,,
138,false,c3b659e5-35f1-408c-8cb5-b5f9b295c76e,Copper ion,Elementary flows/Emission to water/ground water,kg,elementary,,,
139,false,44f28e11-061d-44fd-8f25-dc62a9f1fa57,Manganese II,Elementary flows/Emission to water/ground water,kg,elementary,,,
140,false,7e769b3e-03fb-4b53-be15-85a910dcfea9,Zinc II,Elementary flows/Emission to water/ground water,kg,elementary,,,
141,false,ada3ecfe-8244-4389-bcce-e83ca4f66e09,Zinc II,Elementary flows/Emission to air/low population density,kg,elementary,,,
142,false,f0d1c319-249f-4a89-b0e7-3a5a90a54036,Cobalt II,Elementary flows/Emission to water/ground water,kg,elementary,,,
143,false,9a98be81-7711-4a1b-adc0-8e65acf05d62,Nitrite,Elementary flows/Emission to water/ground water,kg,elementary,,,
144,false,0ff15165-d761-48c9-9814-2d1dcdd56857,Lead II,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
145,false,b61057a3-a0bc-4158-882e-b819c4797419,Nitrate,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
146,false,43b29ad9-26dd-4838-b931-6216e55a0120,Antimony ion,Elementary flows/Emission to air/low population density,kg,elementary,,,
147,false,be10dd54-eb4d-48ae-9e14-7d79ce8b170d,"COD, Chemical Oxygen Demand",Elementary flows/Emission to water/ground water,kg,elementary,,,
148,false,c21a1397-82dc-427a-a6cb-c790ba2626f4,Potassium I,Elementary flows/Emission to water/ground water,kg,elementary,,,
149,false,736f52e8-9703-4076-8909-7ae80a7f8005,Ammonium,Elementary flows/Emission to water/ground water,kg,elementary,,,
150,false,329fc7d8-4011-4327-84e4-34ff76f0e42d,Phosphate,Elementary flows/Emission to water/ground water,kg,elementary,,,
151,false,73b225ab-ddc4-4a38-9ed0-ceedee987424,"TOC, Total Organic Carbon",Elementary flows/Emission to water/ground water,kg,elementary,,,
152,false,40f89b03-64f8-466d-9480-bca47d8a435c,Mercury II,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
153,false,ae28c923-a4a3-4f00-b862-1ae6e748efb9,Calcium II,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
154,false,f5d022f1-c26d-4044-ac88-d7c5bbff83c4,Nitrite,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
155,false,8b7dc667-f04e-492c-a161-80b1482126b0,Hydrogen fluoride,Elementary flows/Emission to air/low population density,kg,elementary,,,
156,false,15cfc784-a719-4230-ad2e-f4104d56c427,"Nitrogen, organic bound","Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
157,false,1be475e0-ccef-4145-98e0-0d47c570a71b,Selenium IV,Elementary flows/Emission to water/ground water,kg,elementary,,,
158,false,ed1fd27e-014a-41cf-842f-7b2022b0be79,Vanadium V,Elementary flows/Emission to water/ground water,kg,elementary,,,
159,true,1eaa9ea4-40b8-414a-b198-5626400372e1,"Occupation, dump site",Elementary flows/Resource/land,m2*a,elementary,,,
